Number,Date,Hour,Store,Sales,Total,Card
2234,2012-01-01,10:47,Saint Paul,DVDs,35.02,Visa
2235,2012-01-01,10:48,Boise,Baby,263.87,MasterCard
2236,2012-01-01,10:48,Toledo,Cameras,427.27,Discover
2237,2012-01-01,10:48,Memphis,Video Games,331.22,Cash
2238,2012-01-01,10:48,Plano,Garden,325.49,Discover
2239,2012-01-01,10:48,Baltimore,DVDs,230.75,MasterCard
2240,2012-01-01,10:48,Greensboro,Music,439.53,Visa
2241,2012-01-01,10:48,Mesa,Music,215.1,Amex
2242,2012-01-01,10:48,Atlanta,Sporting Goods,454.39,Discover
2243,2012-01-01,10:48,Columbus,DVDs,336.87,Discover
2244,2012-01-01,10:48,San Antonio,Children's Clothing,210.66,Cash
2245,2012-01-01,10:48,Minneapolis,Cameras,183.56,MasterCard
2246,2012-01-01,10:48,Wichita,Cameras,308.91,Visa
2247,2012-01-01,10:48,Chandler,Garden,38.64,Amex
2248,2012-01-01,10:48,Louisville,Video Games,161.42,Discover
2249,2012-01-01,10:48,Buffalo,Men's Clothing,407.61,Cash
2250,2012-01-01,10:48,Spokane,Women's Clothing,119.94,MasterCard
2251,2012-01-01,10:48,Miami,Computers,457.17,Discover
2252,2012-01-01,10:48,Bakersfield,Video Games,109.51,Cash
2253,2012-01-01,10:49,Boston,Consumer Electronics,189.3,Cash
2254,2012-01-01,10:49,Milwaukee,Men's Clothing,140.09,Amex
2255,2012-01-01,10:49,San Bernardino,CDs,451.4,Cash
2256,2012-01-01,10:49,Anchorage,Men's Clothing,478.81,Discover
2257,2012-01-01,10:49,Chandler,CDs,356.17,Discover
2258,2012-01-01,10:49,Honolulu,Computers,171.43,MasterCard
2259,2012-01-01,10:49,Minneapolis,Crafts,175.72,Visa
2260,2012-01-01,10:49,New Orleans,Toys,330.06,MasterCard
2261,2012-01-01,10:49,Stockton,Music,295.77,Cash
2262,2012-01-01,10:49,Indianapolis,Men's Clothing,103.91,Cash
2263,2012-01-01,10:49,Gilbert,Computers,2.6,Cash
2264,2012-01-01,10:49,Aurora,Books,130.99,Amex
2265,2012-01-01,10:49,Tulsa,Computers,131.81,Amex
2266,2012-01-01,10:49,Birmingham,Toys,16.57,Amex
2267,2012-01-01,10:49,New York,CDs,355.38,Cash
2268,2012-01-01,10:49,Henderson,Toys,157.49,Discover
2269,2012-01-01,10:49,Mesa,Health and Beauty,169.95,Cash
2270,2012-01-01,10:49,Madison,Crafts,351.5,MasterCard
2271,2012-01-01,10:49,Kansas City,Health and Beauty,350.57,Cash
2272,2012-01-01,10:49,Stockton,CDs,387.49,Amex
2273,2012-01-01,10:49,San Francisco,Music,97.84,Cash
2274,2012-01-01,10:49,Kansas City,Computers,342.18,MasterCard
2275,2012-01-01,10:49,Rochester,Crafts,420.52,MasterCard
2276,2012-01-01,10:49,Garland,Video Games,310.68,MasterCard
2277,2012-01-01,10:49,New York,Baby,264.82,MasterCard
2278,2012-01-01,10:49,Riverside,Books,361.09,Discover
2279,2012-01-01,10:50,Houston,Video Games,465.87,MasterCard
2280,2012-01-01,10:50,Scottsdale,Crafts,18.05,MasterCard
2281,2012-01-01,10:50,Kansas City,Computers,445.89,Cash
2282,2012-01-01,10:50,Chula Vista,Computers,464.96,Visa
2283,2012-01-01,10:50,Detroit,Crafts,493.52,Cash
2284,2012-01-01,10:50,Fresno,Men's Clothing,130.85,Visa
2285,2012-01-01,10:50,Fremont,Music,76.43,Cash
2286,2012-01-01,10:50,Saint Paul,Baby,120.91,Cash
2287,2012-01-01,10:50,Fort Wayne,Toys,386.06,Visa
2288,2012-01-01,10:50,Long Beach,Pet Supplies,355.16,Visa
2289,2012-01-01,10:50,Fresno,Pet Supplies,369.84,Amex
2290,2012-01-01,10:50,New Orleans,DVDs,103.36,Cash
2291,2012-01-01,10:50,Newark,Consumer Electronics,464.02,Amex
2292,2012-01-01,10:50,Raleigh,Health and Beauty,291.37,Cash
2293,2012-01-01,10:50,Portland,Books,462.34,Discover
2294,2012-01-01,10:50,Phoenix,CDs,249.13,Amex
2295,2012-01-01,10:50,Portland,Baby,157.25,Visa
2296,2012-01-01,10:50,St. Petersburg,Sporting Goods,255.39,MasterCard
2297,2012-01-01,10:50,Durham,Baby,81,Cash
2298,2012-01-01,10:50,Boston,Cameras,131.6,Visa
2299,2012-01-01,10:50,Oklahoma City,Men's Clothing,333.4,Visa
2300,2012-01-01,10:50,Minneapolis,Pet Supplies,134.89,Visa
2301,2012-01-01,10:51,Chula Vista,Video Games,59.46,Visa
2302,2012-01-01,10:51,Seattle,Children's Clothing,439.61,Discover
2303,2012-01-01,10:51,Detroit,Cameras,67.49,Visa
2304,2012-01-01,10:51,Washington,Computers,108.85,Visa
2305,2012-01-01,10:51,Tampa,Books,370.49,MasterCard
2306,2012-01-01,10:51,Toledo,DVDs,466.02,Visa
2307,2012-01-01,10:51,Garland,Cameras,119.26,Visa
2308,2012-01-01,10:51,Fort Worth,Computers,249.24,MasterCard
2309,2012-01-01,10:51,Tampa,Health and Beauty,203.18,Discover
2310,2012-01-01,10:51,Cincinnati,Books,256.21,Amex
2311,2012-01-01,10:51,Jacksonville,Crafts,438.62,Amex
2312,2012-01-01,10:51,Norfolk,Computers,317.06,Amex
2313,2012-01-01,10:51,Fremont,Cameras,392.32,Visa
2314,2012-01-01,10:51,Washington,Books,261.45,Cash
2315,2012-01-01,10:51,Detroit,Women's Clothing,440.9,Discover
2316,2012-01-01,10:51,Los Angeles,Cameras,351.4,Amex
2317,2012-01-01,10:51,Glendale,Books,154.4,Visa
2318,2012-01-01,10:51,Henderson,Health and Beauty,44.55,Discover
2319,2012-01-01,10:51,Arlington,Crafts,365.05,Discover
2320,2012-01-01,10:51,Miami,CDs,409.76,Visa
2321,2012-01-01,10:52,Jacksonville,Children's Clothing,367.36,Amex
2322,2012-01-01,10:52,Philadelphia,Health and Beauty,294.98,Amex
2323,2012-01-01,10:52,Garland,Consumer Electronics,225.17,Visa
2324,2012-01-01,10:52,Santa Ana,Pet Supplies,339.56,MasterCard
2325,2012-01-01,10:52,San Diego,DVDs,204.18,Cash
2326,2012-01-01,10:52,Seattle,Men's Clothing,279.08,MasterCard
2327,2012-01-01,10:52,Henderson,Consumer Electronics,5.63,Visa
2328,2012-01-01,10:52,Newark,Health and Beauty,164.5,Cash
2329,2012-01-01,10:52,Virginia Beach,Music,222.36,Amex
2330,2012-01-01,10:52,Boise,Music,28.21,MasterCard
2331,2012-01-01,10:52,Albuquerque,Children's Clothing,204.67,Cash
2332,2012-01-01,10:52,Mesa,Computers,211.1,Cash
2333,2012-01-01,10:52,Wichita,Computers,219.65,Visa
2334,2012-01-01,10:52,Baton Rouge,Children's Clothing,128.09,Discover
2335,2012-01-01,10:52,San Bernardino,Music,290.76,MasterCard
2336,2012-01-01,10:52,Toledo,Men's Clothing,292.48,Amex
2337,2012-01-01,10:52,Louisville,Pet Supplies,305.17,Cash
2338,2012-01-01,10:52,Dallas,Video Games,80.77,Visa
2339,2012-01-01,10:52,Seattle,Garden,415.68,Cash
2340,2012-01-01,10:52,Indianapolis,Pet Supplies,263.56,Cash
2341,2012-01-01,10:52,Irvine,Children's Clothing,407.04,Visa
2342,2012-01-01,10:52,Plano,Music,24.28,Amex
2343,2012-01-01,10:53,Hialeah,Baby,52.09,Visa
2344,2012-01-01,10:53,Virginia Beach,Crafts,62.95,Cash
2345,2012-01-01,10:53,Kansas City,Health and Beauty,433.51,Discover
2346,2012-01-01,10:53,Sacramento,Baby,239.43,Cash
2347,2012-01-01,10:53,New York,Garden,265.28,Visa
2348,2012-01-01,10:53,Madison,DVDs,177.42,Discover
2349,2012-01-01,10:53,Austin,Music,53.86,Cash
2350,2012-01-01,10:53,Detroit,Women's Clothing,109.56,Amex
2351,2012-01-01,10:53,Reno,Garden,464.2,MasterCard
2352,2012-01-01,10:53,Bakersfield,Sporting Goods,87.19,Cash
2353,2012-01-01,10:53,North Las Vegas,Baby,44.22,MasterCard
2354,2012-01-01,10:53,Lincoln,Consumer Electronics,102.56,MasterCard
2355,2012-01-01,10:53,Philadelphia,Sporting Goods,347.39,Visa
2356,2012-01-01,10:53,Wichita,Books,214,MasterCard
2357,2012-01-01,10:53,Irving,Consumer Electronics,71.25,Visa
2358,2012-01-01,10:53,Stockton,Cameras,374.9,Amex
2359,2012-01-01,10:53,St. Louis,CDs,187.9,MasterCard
2360,2012-01-01,10:53,Columbus,Toys,427.92,Cash
2361,2012-01-01,10:53,Fort Worth,DVDs,464.73,Cash
2362,2012-01-01,10:53,Baton Rouge,Health and Beauty,340.44,Amex
2363,2012-01-01,10:53,Rochester,Baby,432.9,Cash
2364,2012-01-01,10:53,Oakland,Video Games,418.05,Discover
2365,2012-01-01,10:53,Pittsburgh,Health and Beauty,499.72,Visa
2366,2012-01-01,10:54,Nashville,CDs,76.53,MasterCard
2367,2012-01-01,10:54,San Diego,Baby,385.62,Discover
2368,2012-01-01,10:54,Oklahoma City,Men's Clothing,333.91,Amex
2369,2012-01-01,10:54,Laredo,Music,179.95,MasterCard
2370,2012-01-01,10:54,Fremont,Video Games,365.38,Discover
2371,2012-01-01,10:54,Toledo,Video Games,112.47,MasterCard
2372,2012-01-01,10:54,Orlando,Children's Clothing,77.75,Cash
2373,2012-01-01,10:54,Virginia Beach,Cameras,341.41,Discover
2374,2012-01-01,10:54,Tulsa,Men's Clothing,86.33,Cash
2375,2012-01-01,10:54,Greensboro,Pet Supplies,274.5,Cash
2376,2012-01-01,10:54,Los Angeles,Children's Clothing,142.98,Discover
2377,2012-01-01,10:54,Denver,DVDs,211.84,Discover
2378,2012-01-01,10:54,Lincoln,Baby,65.2,Cash
2379,2012-01-01,10:54,Rochester,CDs,71.15,Cash
2380,2012-01-01,10:54,Anchorage,DVDs,308.95,Cash
2381,2012-01-01,10:54,Stockton,Crafts,271.92,MasterCard
2382,2012-01-01,10:54,New Orleans,Computers,69.62,Visa
2383,2012-01-01,10:54,Boston,Health and Beauty,51.64,Cash
2384,2012-01-01,10:54,Albuquerque,Consumer Electronics,316.85,Visa
2385,2012-01-01,10:54,Lexington,Health and Beauty,103.11,Cash
2386,2012-01-01,10:55,Scottsdale,Health and Beauty,272.84,Visa
2387,2012-01-01,10:55,Houston,Books,221.95,Visa
2388,2012-01-01,10:55,Los Angeles,Computers,98.85,Cash
2389,2012-01-01,10:55,Memphis,Women's Clothing,31.53,MasterCard
2390,2012-01-01,10:55,Kansas City,Sporting Goods,160.69,Visa
2391,2012-01-01,10:55,Las Vegas,Health and Beauty,222.09,Amex
2392,2012-01-01,10:55,Minneapolis,Video Games,419.88,MasterCard
2393,2012-01-01,10:55,Raleigh,Music,118.9,Cash
2394,2012-01-01,10:55,Cincinnati,CDs,103.36,Amex
2395,2012-01-01,10:55,Chula Vista,Books,155.63,Amex
2396,2012-01-01,10:55,Oklahoma City,Music,211.2,MasterCard
2397,2012-01-01,10:55,Hialeah,Pet Supplies,118.47,Visa
2398,2012-01-01,10:55,Long Beach,Baby,236.56,Amex
2399,2012-01-01,10:55,Denver,Health and Beauty,381.56,Amex
2400,2012-01-01,10:55,Norfolk,CDs,360.14,Visa
2401,2012-01-01,10:55,Greensboro,Children's Clothing,305.6,Discover
2402,2012-01-01,10:55,Arlington,Children's Clothing,262.85,Cash
2403,2012-01-01,10:55,Glendale,Pet Supplies,444.16,Visa
2404,2012-01-01,10:55,Denver,Music,337.53,MasterCard
2405,2012-01-01,10:55,Albuquerque,Women's Clothing,190.81,Amex
2406,2012-01-01,10:56,Tulsa,Cameras,87.43,Cash
2407,2012-01-01,10:56,Rochester,Sporting Goods,119.95,MasterCard
2408,2012-01-01,10:56,Denver,Health and Beauty,203.79,MasterCard
2409,2012-01-01,10:56,Kansas City,DVDs,217.59,Amex
2410,2012-01-01,10:56,Fresno,Video Games,251.33,Amex
2411,2012-01-01,10:56,Newark,Computers,280.63,Visa
2412,2012-01-01,10:56,Hialeah,Garden,270.32,Discover
2413,2012-01-01,10:56,Henderson,Cameras,174.76,Amex
2414,2012-01-01,10:56,San Antonio,Pet Supplies,478.5,Amex
2415,2012-01-01,10:56,Hialeah,CDs,130.71,Visa
2416,2012-01-01,10:56,Chandler,Books,268.88,MasterCard
2417,2012-01-01,10:56,Arlington,Health and Beauty,383.34,MasterCard
2418,2012-01-01,10:56,Atlanta,Music,395.69,Visa
2419,2012-01-01,10:56,Washington,Children's Clothing,296.17,MasterCard
2420,2012-01-01,10:56,St. Petersburg,Health and Beauty,153.65,Discover
2421,2012-01-01,10:56,Oklahoma City,Garden,181.45,Discover
2422,2012-01-01,10:56,Laredo,Consumer Electronics,487.45,Amex
2423,2012-01-01,10:56,Long Beach,Books,305.09,Cash
2424,2012-01-01,10:56,Hialeah,Books,393.14,MasterCard
2425,2012-01-01,10:56,Bakersfield,Women's Clothing,143.56,Visa
2426,2012-01-01,10:57,Bakersfield,Video Games,494.4,Visa
2427,2012-01-01,10:57,Orlando,Health and Beauty,486.05,MasterCard
2428,2012-01-01,10:57,San Diego,Health and Beauty,50.48,Discover
2429,2012-01-01,10:57,Atlanta,Children's Clothing,185.52,Amex
2430,2012-01-01,10:57,Corpus Christi,CDs,295.52,MasterCard
2431,2012-01-01,10:57,Jacksonville,Baby,101.95,Amex
2432,2012-01-01,10:57,San Jose,Pet Supplies,47.65,Discover
2433,2012-01-01,10:57,Louisville,Consumer Electronics,364.94,Amex
2434,2012-01-01,10:57,Miami,Pet Supplies,264.31,Discover
2435,2012-01-01,10:57,Las Vegas,Sporting Goods,468.64,Visa
2436,2012-01-01,10:57,Baltimore,CDs,117.86,MasterCard
2437,2012-01-01,10:57,Oakland,Sporting Goods,456.22,Discover
2438,2012-01-01,10:57,San Diego,Health and Beauty,215.87,MasterCard
2439,2012-01-01,10:57,Albuquerque,Women's Clothing,430.5,MasterCard
2440,2012-01-01,10:57,Birmingham,Video Games,406.62,Cash
2441,2012-01-01,10:57,Kansas City,Books,82.27,Discover
2442,2012-01-01,10:57,Buffalo,Men's Clothing,210.31,Discover
2443,2012-01-01,10:57,Boise,Consumer Electronics,134.21,Visa
2444,2012-01-01,10:57,Portland,Men's Clothing,179.27,Amex
2445,2012-01-01,10:58,Reno,Toys,438.37,MasterCard
2446,2012-01-01,10:58,Houston,Pet Supplies,271.1,MasterCard
2447,2012-01-01,10:58,Irving,Children's Clothing,189.67,Visa
2448,2012-01-01,10:58,Jersey City,Crafts,338.1,Cash
2449,2012-01-01,10:58,Durham,Sporting Goods,256.28,Amex
2450,2012-01-01,10:58,Anchorage,Consumer Electronics,260.53,Visa
2451,2012-01-01,10:58,Louisville,Women's Clothing,274.35,Cash
2452,2012-01-01,10:58,Oakland,Health and Beauty,313.94,Visa
2453,2012-01-01,10:58,Charlotte,Children's Clothing,177.62,Cash
2454,2012-01-01,10:58,Richmond,Garden,297.64,MasterCard
2455,2012-01-01,10:58,New York,Music,119.12,Cash
2456,2012-01-01,10:58,Lincoln,Men's Clothing,57.97,Cash
2457,2012-01-01,10:58,New York,Sporting Goods,423.14,MasterCard
2458,2012-01-01,10:58,Bakersfield,Sporting Goods,57.14,Discover
2459,2012-01-01,10:58,Hialeah,Consumer Electronics,336.72,Discover
2460,2012-01-01,10:58,Mesa,DVDs,361.41,MasterCard
2461,2012-01-01,10:58,Portland,Cameras,81.92,Discover
2462,2012-01-01,10:58,San Francisco,Women's Clothing,279.13,MasterCard
2463,2012-01-01,10:58,Glendale,Music,402.42,Discover
2464,2012-01-01,10:58,Chandler,Women's Clothing,88.22,Cash
2465,2012-01-01,10:58,New York,Music,395.93,Discover
2466,2012-01-01,10:58,Lincoln,Cameras,437.44,Discover
2467,2012-01-01,10:59,Riverside,Computers,145.46,Cash
2468,2012-01-01,10:59,Glendale,Cameras,98.8,Visa
2469,2012-01-01,10:59,Anchorage,Pet Supplies,326.46,MasterCard
2470,2012-01-01,10:59,San Jose,Garden,193.96,Discover
2471,2012-01-01,10:59,Scottsdale,Men's Clothing,262.38,Cash
2472,2012-01-01,10:59,Tampa,Pet Supplies,478.79,MasterCard
2473,2012-01-01,10:59,San Diego,Cameras,490.26,Cash
2474,2012-01-01,10:59,Chula Vista,Garden,224.32,Cash
2475,2012-01-01,10:59,San Bernardino,Garden,16.85,Visa
2476,2012-01-01,10:59,Irvine,DVDs,204.25,Visa
2477,2012-01-01,10:59,St. Louis,Video Games,355.16,Cash
2478,2012-01-01,10:59,Scottsdale,Women's Clothing,146.77,Visa
2479,2012-01-01,10:59,Birmingham,CDs,119.73,Amex
2480,2012-01-01,10:59,Cleveland,Consumer Electronics,462.7,Visa
2481,2012-01-01,10:59,Jersey City,Toys,476.48,Visa
2482,2012-01-01,10:59,Lexington,Women's Clothing,123.36,Visa
2483,2012-01-01,10:59,San Bernardino,Crafts,382.88,Visa
2484,2012-01-01,10:59,El Paso,Books,324.78,Cash
2485,2012-01-01,10:59,Reno,CDs,307.94,Cash
2486,2012-01-01,10:59,Aurora,Consumer Electronics,223.36,MasterCard
2487,2012-01-01,10:59,Laredo,Crafts,457.27,Amex
2488,2012-01-01,10:59,Spokane,Video Games,373.02,Cash
2489,2012-01-01,11:00,Chandler,Crafts,352.2,Discover
2490,2012-01-01,11:00,Orlando,Toys,475.74,Cash
2491,2012-01-01,11:00,Lexington,DVDs,225.68,Discover
2492,2012-01-01,11:00,Stockton,Toys,412.37,Amex
2493,2012-01-01,11:00,St. Petersburg,Music,243.77,Cash
2494,2012-01-01,11:00,Oakland,Children's Clothing,357.69,Cash
2495,2012-01-01,11:00,Tulsa,Pet Supplies,30.66,Cash
2496,2012-01-01,11:00,Fort Wayne,Computers,481.93,Visa
2497,2012-01-01,11:00,Long Beach,Crafts,224.71,Cash
2498,2012-01-01,11:00,Garland,Women's Clothing,94.13,MasterCard
2499,2012-01-01,11:00,Pittsburgh,Sporting Goods,269.82,Discover
2500,2012-01-01,11:00,Fresno,Women's Clothing,40.44,Cash
2501,2012-01-01,11:00,Sacramento,Books,448.28,MasterCard
2502,2012-01-01,11:00,Corpus Christi,Consumer Electronics,263.49,Amex
2503,2012-01-01,11:00,Boise,Children's Clothing,482.23,Discover
2504,2012-01-01,11:00,Louisville,Garden,137.79,Cash
2505,2012-01-01,11:01,Norfolk,Children's Clothing,158.69,Amex
2506,2012-01-01,11:01,San Antonio,Consumer Electronics,191.39,Amex
2507,2012-01-01,11:01,Phoenix,Women's Clothing,188.51,Amex
2508,2012-01-01,11:01,North Las Vegas,Women's Clothing,428.13,Amex
2509,2012-01-01,11:01,New York,Music,476.82,Cash
2510,2012-01-01,11:01,Denver,Crafts,431.05,Discover
2511,2012-01-01,11:01,San Francisco,Cameras,283.93,Discover
2512,2012-01-01,11:01,Atlanta,Children's Clothing,337.64,Amex
2513,2012-01-01,11:01,Fremont,DVDs,451.2,MasterCard
2514,2012-01-01,11:01,Glendale,DVDs,108.75,Discover
2515,2012-01-01,11:01,Tucson,Children's Clothing,64.19,MasterCard
2516,2012-01-01,11:01,Lubbock,Garden,207.15,Discover
2517,2012-01-01,11:01,Las Vegas,Books,167.64,MasterCard
2518,2012-01-01,11:01,San Francisco,Pet Supplies,289.18,MasterCard
2519,2012-01-01,11:01,Plano,Music,237.97,Cash
2520,2012-01-01,11:01,Long Beach,Children's Clothing,238.49,Cash
2521,2012-01-01,11:01,Anaheim,Books,421.39,Discover
2522,2012-01-01,11:01,Henderson,Computers,116.35,Visa
2523,2012-01-01,11:02,Aurora,Pet Supplies,180.86,MasterCard
2524,2012-01-01,11:02,El Paso,Women's Clothing,116.76,Cash
2525,2012-01-01,11:02,San Francisco,Health and Beauty,49.48,Amex
2526,2012-01-01,11:02,Scottsdale,Baby,335.03,MasterCard
2527,2012-01-01,11:02,Milwaukee,Children's Clothing,417.75,MasterCard
2528,2012-01-01,11:02,Riverside,Men's Clothing,126.97,Amex
2529,2012-01-01,11:02,Richmond,Health and Beauty,412.3,Cash
2530,2012-01-01,11:02,San Bernardino,Toys,411.35,Visa
2531,2012-01-01,11:02,Fresno,Men's Clothing,66.87,MasterCard
2532,2012-01-01,11:02,Kansas City,Children's Clothing,331.66,Visa
2533,2012-01-01,11:02,Corpus Christi,Video Games,259.14,MasterCard
2534,2012-01-01,11:02,Seattle,Children's Clothing,390.17,Discover
2535,2012-01-01,11:02,Sacramento,Music,437.68,Cash
2536,2012-01-01,11:02,Charlotte,Health and Beauty,127.21,Discover
2537,2012-01-01,11:02,Santa Ana,Cameras,347.71,Discover
2538,2012-01-01,11:02,Tulsa,DVDs,64.95,MasterCard
2539,2012-01-01,11:02,Virginia Beach,Garden,484.27,Visa
2540,2012-01-01,11:02,San Bernardino,Health and Beauty,206.72,Amex
2541,2012-01-01,11:02,Phoenix,Sporting Goods,51.3,Amex
2542,2012-01-01,11:02,Nashville,Music,199.08,Visa
2543,2012-01-01,11:02,Sacramento,Garden,494.52,Discover
2544,2012-01-01,11:03,Seattle,Music,442.52,MasterCard
2545,2012-01-01,11:03,Chandler,Pet Supplies,203.24,MasterCard
2546,2012-01-01,11:03,Baton Rouge,Books,147.93,Amex
2547,2012-01-01,11:03,Lexington,Computers,183.53,Visa
2548,2012-01-01,11:03,Columbus,Health and Beauty,347.21,Visa
2549,2012-01-01,11:03,Denver,Health and Beauty,345.07,Discover
2550,2012-01-01,11:03,Norfolk,Men's Clothing,414.84,Cash
2551,2012-01-01,11:03,Honolulu,Sporting Goods,105.43,Cash
2552,2012-01-01,11:03,Glendale,Crafts,272.24,MasterCard
2553,2012-01-01,11:03,Lubbock,DVDs,472.75,MasterCard
2554,2012-01-01,11:03,Winston–Salem,Crafts,64.82,Amex
2555,2012-01-01,11:03,Greensboro,Computers,496.6,MasterCard
2556,2012-01-01,11:03,Virginia Beach,Men's Clothing,335.45,Cash
2557,2012-01-01,11:03,Phoenix,Health and Beauty,287.56,Cash
2558,2012-01-01,11:03,Fort Wayne,Garden,122.18,Discover
2559,2012-01-01,11:03,Newark,Consumer Electronics,346.35,Cash
2560,2012-01-01,11:03,Albuquerque,CDs,476.22,Discover
2561,2012-01-01,11:03,Chula Vista,Music,266.49,Amex
2562,2012-01-01,11:03,Tulsa,Baby,498.42,Discover
2563,2012-01-01,11:04,Spokane,Cameras,390.54,Amex
2564,2012-01-01,11:04,Greensboro,Books,76.06,Amex
2565,2012-01-01,11:04,New Orleans,Garden,2.3,Amex
2566,2012-01-01,11:04,Austin,Baby,238.6,MasterCard
2567,2012-01-01,11:04,Milwaukee,Baby,484.11,Cash
2568,2012-01-01,11:04,Baton Rouge,Men's Clothing,236.89,Discover
2569,2012-01-01,11:04,San Bernardino,Video Games,105.96,Cash
2570,2012-01-01,11:04,Laredo,Garden,87.73,Visa
2571,2012-01-01,11:04,Hialeah,Women's Clothing,116.12,Discover
2572,2012-01-01,11:04,St. Petersburg,Cameras,95.46,Discover
2573,2012-01-01,11:04,Portland,Cameras,439.45,Cash
2574,2012-01-01,11:04,Cincinnati,Consumer Electronics,413.85,Visa
2575,2012-01-01,11:04,Tampa,Women's Clothing,203.4,Amex
2576,2012-01-01,11:04,Las Vegas,Consumer Electronics,167.21,Amex
2577,2012-01-01,11:04,Spokane,Garden,183.42,Amex
2578,2012-01-01,11:04,Irvine,Sporting Goods,133.47,Discover
2579,2012-01-01,11:04,Los Angeles,Music,117.2,Visa
2580,2012-01-01,11:04,North Las Vegas,Health and Beauty,374.77,Cash
2581,2012-01-01,11:04,Indianapolis,Toys,367.52,Visa
2582,2012-01-01,11:04,Charlotte,Cameras,326.23,Amex
2583,2012-01-01,11:04,Reno,Baby,109.39,Amex
2584,2012-01-01,11:04,Seattle,Music,216.45,MasterCard
2585,2012-01-01,11:04,Denver,Video Games,122.43,Amex
2586,2012-01-01,11:04,New York,Baby,364.3,Discover
2587,2012-01-01,11:05,Minneapolis,Video Games,488.27,Visa
2588,2012-01-01,11:05,Buffalo,Men's Clothing,99.85,Visa
2589,2012-01-01,11:05,Colorado Springs,Consumer Electronics,232.14,Visa
2590,2012-01-01,11:05,Fresno,Computers,255.58,Visa
2591,2012-01-01,11:05,Boston,Children's Clothing,206.4,Cash
2592,2012-01-01,11:05,Jacksonville,Women's Clothing,173.55,Amex
2593,2012-01-01,11:05,Garland,Cameras,400.91,Discover
2594,2012-01-01,11:05,Detroit,Pet Supplies,310.25,Cash
2595,2012-01-01,11:05,Oakland,Men's Clothing,478.6,Cash
2596,2012-01-01,11:05,Tucson,Garden,402.05,MasterCard
2597,2012-01-01,11:05,Spokane,CDs,492.66,Amex
2598,2012-01-01,11:05,Laredo,Baby,288.18,Discover
2599,2012-01-01,11:05,Tucson,CDs,285.74,Discover
2600,2012-01-01,11:05,San Jose,Women's Clothing,66.77,Discover
2601,2012-01-01,11:05,San Francisco,Toys,204.48,Cash
2602,2012-01-01,11:05,Jacksonville,Men's Clothing,19.39,Amex
2603,2012-01-01,11:05,Indianapolis,Health and Beauty,237.75,Visa
2604,2012-01-01,11:05,St. Petersburg,Books,195.53,Cash
2605,2012-01-01,11:05,Plano,Music,266.02,Visa
2606,2012-01-01,11:05,Plano,Children's Clothing,214.55,Discover
2607,2012-01-01,11:05,Fresno,Consumer Electronics,159.61,Visa
2608,2012-01-01,11:05,Virginia Beach,Crafts,278.07,Cash
2609,2012-01-01,11:06,Saint Paul,CDs,299.03,MasterCard
2610,2012-01-01,11:06,Los Angeles,DVDs,379.38,Amex
2611,2012-01-01,11:06,Virginia Beach,Baby,333.92,Discover
2612,2012-01-01,11:06,Jacksonville,Toys,99.8,Visa
2613,2012-01-01,11:06,Chesapeake,Books,321.34,MasterCard
2614,2012-01-01,11:06,Winston–Salem,Women's Clothing,39.13,Discover
2615,2012-01-01,11:06,St. Louis,Consumer Electronics,139.07,Cash
2616,2012-01-01,11:06,Houston,Cameras,340.76,Cash
2617,2012-01-01,11:06,Phoenix,Cameras,465.78,Cash
2618,2012-01-01,11:06,Reno,Sporting Goods,82.19,MasterCard
2619,2012-01-01,11:06,Reno,Toys,424.23,Visa
2620,2012-01-01,11:06,Chandler,Sporting Goods,227.82,MasterCard
2621,2012-01-01,11:06,El Paso,Garden,92.9,Amex
2622,2012-01-01,11:06,Oakland,Music,151.2,Discover
2623,2012-01-01,11:06,Kansas City,Books,394.14,MasterCard
2624,2012-01-01,11:06,Cincinnati,Health and Beauty,357.34,Amex
2625,2012-01-01,11:06,Lincoln,Crafts,227.04,MasterCard
2626,2012-01-01,11:06,Pittsburgh,Pet Supplies,347.99,Amex
2627,2012-01-01,11:06,Cleveland,Music,95.19,Discover
2628,2012-01-01,11:06,Long Beach,Baby,284.48,MasterCard
2629,2012-01-01,11:06,Baton Rouge,Consumer Electronics,139.9,Cash
2630,2012-01-01,11:06,Glendale,Health and Beauty,243.72,MasterCard
2631,2012-01-01,11:06,Toledo,Crafts,315.27,Amex
2632,2012-01-01,11:06,Riverside,Pet Supplies,175.35,Visa
2633,2012-01-01,11:07,Cleveland,Health and Beauty,409.7,Cash
2634,2012-01-01,11:07,Cincinnati,Men's Clothing,496.61,Discover
2635,2012-01-01,11:07,Reno,CDs,386.82,Amex
2636,2012-01-01,11:07,Irving,Video Games,226.01,Discover
2637,2012-01-01,11:07,Glendale,Consumer Electronics,498.79,MasterCard
2638,2012-01-01,11:07,Denver,Music,18.63,Visa
2639,2012-01-01,11:07,Pittsburgh,Men's Clothing,63.29,MasterCard
2640,2012-01-01,11:07,Saint Paul,Children's Clothing,452.44,Cash
2641,2012-01-01,11:07,Irving,Health and Beauty,417.18,Amex
2642,2012-01-01,11:07,Colorado Springs,Garden,396.19,MasterCard
2643,2012-01-01,11:07,Greensboro,Toys,333.16,Discover
2644,2012-01-01,11:07,Reno,Women's Clothing,251.07,Discover
2645,2012-01-01,11:07,St. Louis,Consumer Electronics,96.31,Amex
